,url,title,authorname,avg_rating,num_rat,num_rev,total_pages,ori_year,places,series,awards,genre3
772,https://www.goodreads.com//book/show/15954540-the-wretched-of-muirwood,The Wretched of Muirwood,Jeff Wheeler,4.05,"19,929","1,219",302,2013,,1,,"['Fantasy', 'Young Adult', 'Fiction']"
773,https://www.goodreads.com//book/show/25451852-dawn-of-wonder,Dawn of Wonder,Jonathan Renshaw,4.35,"22,545","1,900",715,2015,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
774,https://www.goodreads.com//book/show/158736.Cugel_s_Saga,Cugel's Saga,Jack Vance,4.24,"2,446",148,347,2000,,1,,"['Fantasy', 'Science Fiction', 'Fiction']"
775,https://www.goodreads.com//book/show/144113.Sons_of_the_Oak,Sons of the Oak,David Farland,3.77,"3,545",78,384,2006,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
776,https://www.goodreads.com//book/show/6765788-the-last-stormlord,The Last Stormlord,Glenda Larke,3.76,"6,855",305,674,2010,,1,"Aurealis Award Nominee for Best Fantasy Novel (2009), Norma K. Hemming Award Nominee (2010)","['Fantasy', 'Fantasy', 'High Fantasy']"
777,https://www.goodreads.com//book/show/26114463-nevernight,Nevernight,Jay Kristoff,4.21,"62,686","10,836",429,2016,,1,"David Gemmell Legend Award Nominee for Best Fantasy Novel (2017), Aurealis Award for Best Fantasy Novel (2016), David Gemmell Ravenheart Award Nominee for Best Fantasy Cover Art (2017)","['Fantasy', 'Young Adult', 'Fiction']"
778,https://www.goodreads.com//book/show/554774.The_Dark_Tide,The Dark Tide,Dennis L. McKiernan,3.86,"2,446",125,304,1985,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
779,https://www.goodreads.com//book/show/1064084.A_Voyage_to_Arcturus,A Voyage to Arcturus,David Lindsay,3.57,"2,794",377,274,2002,Arcturus,0,,"['Science Fiction', 'Fantasy', 'Fiction']"
780,https://www.goodreads.com//book/show/34504.Wyrd_Sisters,Wyrd Sisters,Terry Pratchett,4.12,"99,600","3,283",265,2001,Lancre,1,,"['Fantasy', 'Fiction', 'Humor']"
781,https://www.goodreads.com//book/show/613994.The_Legend_of_Deathwalker,The Legend of Deathwalker,David Gemmell,4.31,"7,907",113,376,1999,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
782,https://www.goodreads.com//book/show/399378.Elric,Elric: The Stealer of Souls,Michael Moorcock,4.02,757,29,625,1998,,1,,"['Fantasy', 'Fiction', 'Science Fiction']"
783,https://www.goodreads.com//book/show/3531469-lamentation,Lamentation,Ken Scholes,3.70,"3,136",312,368,2009,,1,"Locus Award Nominee for Best First Novel (2010), Grand Prix de l'Imaginaire for Roman étranger (2011), David Gemmell Morningstar Award Nominee for Best Fantasy Newcomer (2010)","['Fantasy', 'Fiction', 'Fantasy']"
784,https://www.goodreads.com//book/show/6691426-angelology,Angelology,Danielle Trussoni,3.43,"16,680","2,482",464,2010,"New York State, 1999 (United States)",1,,"['Fantasy', 'Fiction', 'Paranormal']"
785,https://www.goodreads.com//book/show/153781.Magic_Steps,Magic Steps,Tamora Pierce,4.02,"22,051",467,264,2006,,1,,"['Fantasy', 'Young Adult', 'Fantasy']"
786,https://www.goodreads.com//book/show/219205.Lord_Foul_s_Bane,Lord Foul's Bane,Stephen R. Donaldson,3.72,"47,851","1,705",480,1989,,1,"Gandalf Award Nominee (1978), August Derleth Award for Best Novel (1979)","['Fantasy', 'Fiction', 'Science Fiction Fantasy']"
787,https://www.goodreads.com//book/show/20252.House_Corrino,House Corrino,Brian Herbert,3.70,"14,617",244,667,2002,,1,,"['Science Fiction', 'Fiction', 'Fantasy']"
788,https://www.goodreads.com//book/show/28274.The_Darksword_Trilogy,"The Darksword Trilogy: Forging the Darksword, Doom of the Darksword and Triumph of the Darksword",Margaret Weis,3.79,440,7,,1989,,1,,"['Fantasy', 'Fiction']"
789,https://www.goodreads.com//book/show/6370163-woman-of-honor,Woman of Honor,Nicole Zoltack,3.62,138,32,165,2009,,1,,"['Fantasy', 'Romance', 'Young Adult']"
790,https://www.goodreads.com//book/show/13062645-poseidon-s-children,Poseidon’s Children,Michael West,3.46,388,66,311,2012,"Colonial Bay, New Hampshire (United States)",1,,"['Fantasy', 'Horror', 'Fantasy']"
791,https://www.goodreads.com//book/show/833425.Men_at_Arms,Men at Arms,Terry Pratchett,4.35,"88,276","2,066",381,1994,Ankh-Morpork,1,,"['Fantasy', 'Fiction', 'Humor']"
792,https://www.goodreads.com//book/show/2986865-eon,Eon: Dragoneye Reborn,Alison Goodman,3.93,"62,731","4,273",531,2008,,1,"Locus Award Nominee for Best Young Adult Novel (2009), Victorian Premier's Literary Award Nominee for Young Adult Fiction Prize (2009), James Tiptree Jr. Award Nominee (2008), Aurealis Award for Best Fantasy Novel & Nominee for Young Adult Novel (2008), The Inky Awards Nominee for Gold Inky (2009)","['Fantasy', 'Young Adult', 'Fantasy']"
793,https://www.goodreads.com//book/show/24735165-tears-of-joy,Tears of Joy,Michael Lawrence,4.62,29,17,169,2015,,0,,['Urban']
